FID,OBJECTID,name,lineName,name编号
0,1,金星广场,9路外环(1-1),1
1,2,景观小区,9路外环(1-1),2
2,3,安通路,9路外环(1-1),3
3,4,安乐村,9路外环(1-1),4
4,5,宏文市场,9路外环(1-1),5
5,6,昌落广场,9路外环(1-1),6
6,7,福慧学校,9路外环(1-1),7
7,8,民航站,9路外环(1-1),8
8,9,古城区政府,9路外环(1-1),9
9,10,丽江国际购物广场,9路外环(1-1),10
10,11,红太阳广场,9路外环(1-1),11
11,12,黑龙潭,9路外环(1-1),12
12,13,市妇幼保健站,9路外环(1-1),13
13,14,象山市场,9路外环(1-1),14
14,15,香格里拉大道,9路外环(1-1),15
15,16,金星广场,9路外环(1-1),1
16,17,金星广场,9路内环(1-1),1
17,18,香格里大道,9路内环(1-1),16
18,19,象山市场,9路内环(1-1),14
19,20,北郊转台,9路内环(1-1),17
20,21,市妇幼保健站,9路内环(1-1),13
21,22,黑龙潭,9路内环(1-1),12
22,23,红太阳广场,9路内环(1-1),11
23,24,市人民医院,9路内环(1-1),18
24,25,古城区政府,9路内环(1-1),9
25,26,民航站,9路内环(1-1),8
26,27,福慧学校,9路内环(1-1),7
27,28,昌洛广场,9路内环(1-1),19
28,29,宏文市场,9路内环(1-1),5
29,30,安乐村,9路内环(1-1),4
30,31,安通路,9路内环(1-1),3
31,32,景观小区,9路内环(1-1),2
32,33,金星广场,9路内环(1-1),1
33,34,丽江火车站,16路火车站专线(丽江火车站-古城区一中),20
34,35,北师大文理学院,16路火车站专线(丽江火车站-古城区一中),21
35,36,国家储备局,16路火车站专线(丽江火车站-古城区一中),22
36,37,玉龙县林业局,16路火车站专线(丽江火车站-古城区一中),23
37,38,天间教筑,16路火车站专线(丽江火车站-古城区一中),24
38,39,玉龙县政府,16路火车站专线(丽江火车站-古城区一中),25
39,40,玉龙县法院,16路火车站专线(丽江火车站-古城区一中),26
40,41,白玉园,16路火车站专线(丽江火车站-古城区一中),27
41,42,玉龙园,16路火车站专线(丽江火车站-古城区一中),28
42,43,玉龙中学,16路火车站专线(丽江火车站-古城区一中),29
43,44,集云村,16路火车站专线(丽江火车站-古城区一中),30
44,45,金龙村,16路火车站专线(丽江火车站-古城区一中),31
45,46,现云村,16路火车站专线(丽江火车站-古城区一中),32
46,47,丽江市行政中心,16路火车站专线(丽江火车站-古城区一中),丽江市行政中心
47,48,康仲村,16路火车站专线(丽江火车站-古城区一中),康仲村
48,49,市气象局,16路火车站专线(丽江火车站-古城区一中),市气象局
49,50,阿丹阁(香格里大道),16路火车站专线(丽江火车站-古城区一中),阿丹阁(16)
50,51,七星街(香格里大道),16路火车站专线(丽江火车站-古城区一中),七星街(16)
51,52,福慧市场,16路火车站专线(丽江火车站-古城区一中),福慧市场
52,53,高快客运站,16路火车站专线(丽江火车站-古城区一中),高快客运站
53,54,市中级法院,16路火车站专线(丽江火车站-古城区一中),市中级法院
54,55,香格里大道,16路火车站专线(丽江火车站-古城区一中),16
55,56,象山市场,16路火车站专线(丽江火车站-古城区一中),14
56,57,古城区一中,16路火车站专线(丽江火车站-古城区一中),古城区一中
57,58,玉龙县政府,4路火车站专线(玉龙县政府-古城区一中),25
58,59,玉龙县医院,4路火车站专线(玉龙县政府-古城区一中),玉龙县医院
59,60,上吉市场,4路火车站专线(玉龙县政府-古城区一中),上吉市场
60,61,中和村,4路火车站专线(玉龙县政府-古城区一中),中和村
61,62,护城河,4路火车站专线(玉龙县政府-古城区一中),护城河
62,63,干休所,4路火车站专线(玉龙县政府-古城区一中),干休所
63,64,祥云村,4路火车站专线(玉龙县政府-古城区一中),祥云村
64,65,庆云路口,4路火车站专线(玉龙县政府-古城区一中),庆云路口
65,66,机床厂,4路火车站专线(玉龙县政府-古城区一中),机床厂
66,67,大研中学,4路火车站专线(玉龙县政府-古城区一中),大研中学
67,68,忠义市场,4路火车站专线(玉龙县政府-古城区一中),忠义市场
68,69,白龙广场,4路火车站专线(玉龙县政府-古城区一中),白龙广场
69,70,公路总段,4路火车站专线(玉龙县政府-古城区一中),公路总段
70,71,七星街(民主路),4路火车站专线(玉龙县政府-古城区一中),七星街(民主路)
71,72,古城口,4路火车站专线(玉龙县政府-古城区一中),古城口
72,73,红太阳广场,4路火车站专线(玉龙县政府-古城区一中),11
73,74,黑龙潭,4路火车站专线(玉龙县政府-古城区一中),12
74,75,实验学校,4路火车站专线(玉龙县政府-古城区一中),实验学校
75,76,象山路口,4路火车站专线(玉龙县政府-古城区一中),象山路口
76,77,古城区一中,4路火车站专线(玉龙县政府-古城区一中),古城区一中
77,78,古城区一中,4路火车站专线(古城区一中-玉龙县政府),古城区一中
78,79,象山路口,4路火车站专线(古城区一中-玉龙县政府),象山路口
79,80,实验学校,4路火车站专线(古城区一中-玉龙县政府),实验学校
80,81,黑龙潭,4路火车站专线(古城区一中-玉龙县政府),12
81,82,红太阳广场,4路火车站专线(古城区一中-玉龙县政府),11
82,83,古城口,4路火车站专线(古城区一中-玉龙县政府),古城口
83,84,七星街(七星风情美食城),4路火车站专线(古城区一中-玉龙县政府),七星街(七星风情美食城)
84,85,公路总段,4路火车站专线(古城区一中-玉龙县政府),公路总段
85,86,古城白龙广场,4路火车站专线(古城区一中-玉龙县政府),古城白龙广场
86,87,忠义市场,4路火车站专线(古城区一中-玉龙县政府),忠义市场
87,88,大研中学,4路火车站专线(古城区一中-玉龙县政府),大研中学
88,89,机床厂,4路火车站专线(古城区一中-玉龙县政府),机床厂
89,90,庆云路口,4路火车站专线(古城区一中-玉龙县政府),庆云路口
90,91,祥云村,4路火车站专线(古城区一中-玉龙县政府),祥云村
91,92,干休所,4路火车站专线(古城区一中-玉龙县政府),干休所
92,93,护城河,4路火车站专线(古城区一中-玉龙县政府),护城河
93,94,中和村,4路火车站专线(古城区一中-玉龙县政府),中和村
94,95,上吉市场,4路火车站专线(古城区一中-玉龙县政府),上吉市场
95,96,玉龙县医院,4路火车站专线(古城区一中-玉龙县政府),玉龙县医院
96,97,玉龙县政府,4路火车站专线(古城区一中-玉龙县政府),25
97,98,丽江火车站,18路(丽江火车站-忠义市场),20
98,99,南口工业园区,18路(丽江火车站-忠义市场),南口工业园区
99,100,玉龙县民族中学,18路(丽江火车站-忠义市场),玉龙县民族中学
100,101,中和村,18路(丽江火车站-忠义市场),中和村
101,102,玉龙县一中,18路(丽江火车站-忠义市场),玉龙县一中
102,103,护城河,18路(丽江火车站-忠义市场),护城河
103,104,干休所,18路(丽江火车站-忠义市场),干休所
104,105,祥云村,18路(丽江火车站-忠义市场),祥云村
105,106,庆云路口,18路(丽江火车站-忠义市场),庆云路口
106,107,丽江机床厂,18路(丽江火车站-忠义市场),丽江机床厂
107,108,大研中学,18路(丽江火车站-忠义市场),大研中学
108,109,玉龙县医院,18路(丽江火车站-忠义市场),玉龙县医院
109,110,白龙广场,18路(丽江火车站-忠义市场),白龙广场
110,111,忠义市场,18路(丽江火车站-忠义市场),忠义市场
111,112,古城口,2路(古城口-玉缘桥),古城口
112,113,七星街,2路(古城口-玉缘桥),七星街
113,114,公路总段,2路(古城口-玉缘桥),公路总段
114,115,白龙广场,2路(古城口-玉缘桥),白龙广场
115,116,忠义市场,2路(古城口-玉缘桥),忠义市场
116,117,昭庆市场,2路(古城口-玉缘桥),昭庆市场
117,118,南门街,2路(古城口-玉缘桥),南门街
118,119,古城建材市场,2路(古城口-玉缘桥),古城建材市场
119,120,叶氏修理厂,2路(古城口-玉缘桥),叶氏修理厂
120,121,金山安乐村,2路(古城口-玉缘桥),金山4
121,122,金山派出所,2路(古城口-玉缘桥),金山派出所
122,123,祥和职业学校,2路(古城口-玉缘桥),祥和职业学校
123,124,金虹水泥厂,2路(古城口-玉缘桥),金虹水泥厂
124,125,石油公司,2路(古城口-玉缘桥),石油公司
125,126,古管委,2路(古城口-玉缘桥),古管委
126,127,北门市场,2路(古城口-玉缘桥),北门市场
127,128,古城停车场,2路(古城口-玉缘桥),古城停车场
128,129,玉缘桥,2路(古城口-玉缘桥),玉缘桥
129,130,玉缘桥,2路(玉缘桥-古城口),玉缘桥
130,131,古城停车场,2路(玉缘桥-古城口),古城停车场
131,132,北门市场,2路(玉缘桥-古城口),北门市场
132,133,古管委,2路(玉缘桥-古城口),古管委
133,134,石油公司,2路(玉缘桥-古城口),石油公司
134,135,金虹水泥厂,2路(玉缘桥-古城口),金虹水泥厂
135,136,祥和职业学校,2路(玉缘桥-古城口),祥和职业学校
136,137,金山派出所,2路(玉缘桥-古城口),金山派出所
137,138,金山安乐村,2路(玉缘桥-古城口),金山4
138,139,叶氏修理厂,2路(玉缘桥-古城口),叶氏修理厂
139,140,古城建材市场,2路(玉缘桥-古城口),古城建材市场
140,141,南门街,2路(玉缘桥-古城口),南门街
141,142,昭庆市场,2路(玉缘桥-古城口),昭庆市场
142,143,忠义市场,2路(玉缘桥-古城口),忠义市场
143,144,白龙广场,2路(玉缘桥-古城口),白龙广场
144,145,明珍广场,2路(玉缘桥-古城口),明珍广场
145,146,公路总段,2路(玉缘桥-古城口),公路总段
146,147,七星街,2路(玉缘桥-古城口),七星街
147,148,古城口,2路(玉缘桥-古城口),古城口
148,149,清溪水库站,16路火车站专线(清溪水库站-丽江火车站),清溪水库站
149,150,古城区一中,16路火车站专线(清溪水库站-丽江火车站),古城区一中
150,151,象山东路,16路火车站专线(清溪水库站-丽江火车站),象山东路
151,152,象山市场,16路火车站专线(清溪水库站-丽江火车站),14
152,153,香格里大道,16路火车站专线(清溪水库站-丽江火车站),16
153,154,市中级法院,16路火车站专线(清溪水库站-丽江火车站),市中级法院
154,155,高快客运站,16路火车站专线(清溪水库站-丽江火车站),高快客运站
155,156,福慧市场,16路火车站专线(清溪水库站-丽江火车站),福慧市场
156,157,七星街(香格里大道),16路火车站专线(清溪水库站-丽江火车站),七星街(16)
157,158,阿丹阁(香格里大道),16路火车站专线(清溪水库站-丽江火车站),阿丹阁(16)
158,159,市气象局,16路火车站专线(清溪水库站-丽江火车站),市气象局
159,160,康仲村,16路火车站专线(清溪水库站-丽江火车站),康仲村
160,161,丽江市行政中心,16路火车站专线(清溪水库站-丽江火车站),丽江市行政中心
161,162,现云村,16路火车站专线(清溪水库站-丽江火车站),32
162,163,金龙村,16路火车站专线(清溪水库站-丽江火车站),31
163,164,集云村,16路火车站专线(清溪水库站-丽江火车站),30
164,165,市公积金中心(去),16路火车站专线(清溪水库站-丽江火车站),市公积金中心(去)
165,166,玉龙中学,16路火车站专线(清溪水库站-丽江火车站),29
166,167,玉龙园,16路火车站专线(清溪水库站-丽江火车站),28
167,168,白玉园,16路火车站专线(清溪水库站-丽江火车站),27
168,169,玉龙县法院(去),16路火车站专线(清溪水库站-丽江火车站),26(去)
169,170,玉龙县政府,16路火车站专线(清溪水库站-丽江火车站),25
170,171,天间雅苑,16路火车站专线(清溪水库站-丽江火车站),天间雅苑
171,172,国粮储备库,16路火车站专线(清溪水库站-丽江火车站),国粮储备库
172,173,云师大文理学院,16路火车站专线(清溪水库站-丽江火车站),云师大文理学院
173,174,丽江火车站,16路火车站专线(清溪水库站-丽江火车站),20
174,175,阿丹阁(长水路),14路(阿丹阁(长水路)-金凯广场),阿丹阁(长水路)
175,176,市农资公司,14路(阿丹阁(长水路)-金凯广场),市农资公司
176,177,八中小区,14路(阿丹阁(长水路)-金凯广场),八中小区
177,178,武荣村,14路(阿丹阁(长水路)-金凯广场),武荣村
178,179,市民政局,14路(阿丹阁(长水路)-金凯广场),市民政局
179,180,金盾小区,14路(阿丹阁(长水路)-金凯广场),金盾小区
180,181,金龙村,14路(阿丹阁(长水路)-金凯广场),31
181,182,太和油库,14路(阿丹阁(长水路)-金凯广场),太和油库
182,183,裕安公司,14路(阿丹阁(长水路)-金凯广场),裕安公司
183,184,怡鑫苑,14路(阿丹阁(长水路)-金凯广场),怡鑫苑
184,185,怡景苑,14路(阿丹阁(长水路)-金凯广场),怡景苑
185,186,祥和顺天,14路(阿丹阁(长水路)-金凯广场),祥和顺天
186,187,古城区民政局,14路(阿丹阁(长水路)-金凯广场),古城区民政局
187,188,庆云苑小区,14路(阿丹阁(长水路)-金凯广场),庆云苑小区
188,189,锦上城小区,14路(阿丹阁(长水路)-金凯广场),锦上城小区
189,190,幸福里小区,14路(阿丹阁(长水路)-金凯广场),幸福里小区
190,191,市政务中心,14路(阿丹阁(长水路)-金凯广场),市政务中心
191,192,叶氏修理厂,14路(阿丹阁(长水路)-金凯广场),叶氏修理厂
192,193,古城建材城,14路(阿丹阁(长水路)-金凯广场),古城建材城
193,194,南门街,14路(阿丹阁(长水路)-金凯广场),南门街
194,195,昭庆市场,14路(阿丹阁(长水路)-金凯广场),昭庆市场
195,196,忠义市场,14路(阿丹阁(长水路)-金凯广场),忠义市场
196,197,古城白龙广场,14路(阿丹阁(长水路)-金凯广场),古城白龙广场
197,198,玉龙县医院(长水路),14路(阿丹阁(长水路)-金凯广场),玉龙县医院(长水路)
198,199,金凯广场,14路(阿丹阁(长水路)-金凯广场),金凯广场
199,200,南门街,3路(南门街-市民族中专),南门街
200,201,昭庆市场,3路(南门街-市民族中专),昭庆市场
201,202,忠义市场,3路(南门街-市民族中专),忠义市场
202,203,白龙广场,3路(南门街-市民族中专),白龙广场
203,204,明珍广场,3路(南门街-市民族中专),明珍广场
204,205,公路总段,3路(南门街-市民族中专),公路总段
205,206,七星街,3路(南门街-市民族中专),七星街
206,207,古城口,3路(南门街-市民族中专),古城口
207,208,红太阳广场,3路(南门街-市民族中专),11
208,209,黑龙潭,3路(南门街-市民族中专),12
209,210,市妇幼保健站,3路(南门街-市民族中专),13
210,211,象山路,3路(南门街-市民族中专),象山路
211,212,玉峰家属院,3路(南门街-市民族中专),玉峰家属院
212,213,清溪水库,3路(南门街-市民族中专),清溪水库
213,214,文荣村,3路(南门街-市民族中专),文荣村
214,215,市民族中专,3路(南门街-市民族中专),市民族中专
215,216,白龙广场,18路(白龙广场-丽江火车站),白龙广场
216,217,忠义市场,18路(白龙广场-丽江火车站),忠义市场
217,218,大研中学,18路(白龙广场-丽江火车站),大研中学
218,219,机床厂,18路(白龙广场-丽江火车站),机床厂
219,220,庆云路口,18路(白龙广场-丽江火车站),庆云路口
220,221,祥云村,18路(白龙广场-丽江火车站),祥云村
221,222,干休所,18路(白龙广场-丽江火车站),干休所
222,223,护城河,18路(白龙广场-丽江火车站),护城河
223,224,玉龙县一中,18路(白龙广场-丽江火车站),玉龙县一中
224,225,中和村,18路(白龙广场-丽江火车站),中和村
225,226,玉龙县民族中学,18路(白龙广场-丽江火车站),玉龙县民族中学
226,227,南口工业园区,18路(白龙广场-丽江火车站),南口工业园区
227,228,丽江火车站,18路(白龙广场-丽江火车站),20
228,229,客运站,11路(客运站-云大旅游学院),客运站
229,230,大研中学,11路(客运站-云大旅游学院),大研中学
230,231,忠义市场,11路(客运站-云大旅游学院),忠义市场
231,232,白龙广场,11路(客运站-云大旅游学院),白龙广场
232,233,明珍广场,11路(客运站-云大旅游学院),明珍广场
233,234,公路总段,11路(客运站-云大旅游学院),公路总段
234,235,七星街,11路(客运站-云大旅游学院),七星街
235,236,古城口,11路(客运站-云大旅游学院),古城口
236,237,丽江国际购物广场,11路(客运站-云大旅游学院),10
237,238,古城区政府,11路(客运站-云大旅游学院),9
238,239,福慧市场,11路(客运站-云大旅游学院),福慧市场
239,240,高快客运站,11路(客运站-云大旅游学院),高快客运站
240,241,市中级法院,11路(客运站-云大旅游学院),市中级法院
241,242,象山街,11路(客运站-云大旅游学院),象山街
242,243,阳光花园,11路(客运站-云大旅游学院),阳光花园
243,244,大港旺宝酒店,11路(客运站-云大旅游学院),大港旺宝酒店
244,245,丽江家园,11路(客运站-云大旅游学院),丽江家园
245,246,官房花园别墅,11路(客运站-云大旅游学院),官房花园别墅
246,247,束河路口,11路(客运站-云大旅游学院),束河路口
247,248,金茂谷镇,11路(客运站-云大旅游学院),金茂谷镇
248,249,云大旅游学院,11路(客运站-云大旅游学院),云大旅游学院
249,250,火车东站,13路(火车东站-市中级法院),火车东站
250,251,洪家村,13路(火车东站-市中级法院),洪家村
251,252,恩列村,13路(火车东站-市中级法院),恩列村
252,253,市农科所,13路(火车东站-市中级法院),市农科所
253,254,开元村,13路(火车东站-市中级法院),开元村
254,255,古城区民族中学,13路(火车东站-市中级法院),古城区民族中学
255,256,开文中村,13路(火车东站-市中级法院),开文中村
256,257,开文上村,13路(火车东站-市中级法院),开文上村
257,258,东郊转台,13路(火车东站-市中级法院),东郊转台
258,259,金山安乐村,13路(火车东站-市中级法院),金山4
259,260,金山派出所,13路(火车东站-市中级法院),金山派出所
260,261,祥和职业学校,13路(火车东站-市中级法院),祥和职业学校
261,262,金虹水泥厂,13路(火车东站-市中级法院),金虹水泥厂
262,263,石油公司,13路(火车东站-市中级法院),石油公司
263,264,古管委,13路(火车东站-市中级法院),古管委
264,265,北门市场,13路(火车东站-市中级法院),北门市场
265,266,古城停车场,13路(火车东站-市中级法院),古城停车场
266,267,玉缘桥,13路(火车东站-市中级法院),玉缘桥
267,268,红太阳广场,13路(火车东站-市中级法院),11
268,269,黑龙潭,13路(火车东站-市中级法院),12
269,270,市幼儿园,13路(火车东站-市中级法院),市幼儿园
270,271,象山路口,13路(火车东站-市中级法院),象山路口
271,272,象山市场,13路(火车东站-市中级法院),14
272,273,香格里大道,13路(火车东站-市中级法院),16
273,274,市中级法院,13路(火车东站-市中级法院),市中级法院
274,275,七星街,6路(七星街-玉水寨),七星街
275,276,古城口,6路(七星街-玉水寨),古城口
276,277,红太阳广场,6路(七星街-玉水寨),11
277,278,黑龙潭,6路(七星街-玉水寨),12
278,279,市妇幼保健站,6路(七星街-玉水寨),13
279,280,象山市场,6路(七星街-玉水寨),14
280,281,香格里大道,6路(七星街-玉水寨),16
281,282,象山街,6路(七星街-玉水寨),象山街
282,283,阳光花园,6路(七星街-玉水寨),阳光花园
283,284,大港旺宝酒店,6路(七星街-玉水寨),大港旺宝酒店
284,285,丽江家园,6路(七星街-玉水寨),丽江家园
285,286,官房花园别墅,6路(七星街-玉水寨),官房花园别墅
286,287,束河路口,6路(七星街-玉水寨),束河路口
287,288,滇缅玉石城,6路(七星街-玉水寨),滇缅玉石城
288,289,天域阳光,6路(七星街-玉水寨),天域阳光
289,290,悦榕酒店,6路(七星街-玉水寨),悦榕酒店
290,291,束河文明村村,6路(七星街-玉水寨),束河文明村村
291,292,八七五零驻训基地,6路(七星街-玉水寨),八七五零驻训基地
292,293,西文村,6路(七星街-玉水寨),西文村
293,294,白沙乡人民政府,6路(七星街-玉水寨),白沙乡人民政府
294,295,向阳村,6路(七星街-玉水寨),向阳村
295,296,丰乐村,6路(七星街-玉水寨),丰乐村
296,297,新善村,6路(七星街-玉水寨),新善村
297,298,玉龙村,6路(七星街-玉水寨),玉龙村
298,299,三朵阁,6路(七星街-玉水寨),三朵阁
299,300,玉峰寺,6路(七星街-玉水寨),玉峰寺
300,301,玉水寨,6路(七星街-玉水寨),玉水寨
301,302,玉水寨,6路(玉水寨-七星街),玉水寨
302,303,玉峰寺,6路(玉水寨-七星街),玉峰寺
303,304,三朵阁,6路(玉水寨-七星街),三朵阁
304,305,玉龙村,6路(玉水寨-七星街),玉龙村
305,306,新善村,6路(玉水寨-七星街),新善村
306,307,丰乐村,6路(玉水寨-七星街),丰乐村
307,308,向阳村,6路(玉水寨-七星街),向阳村
308,309,白沙乡人民政府,6路(玉水寨-七星街),白沙乡人民政府
309,310,西文村,6路(玉水寨-七星街),西文村
310,311,束河上村(束河古镇),6路(玉水寨-七星街),束河上村(束河古镇)
311,312,悦榕酒店,6路(玉水寨-七星街),悦榕酒店
312,313,天域阳光,6路(玉水寨-七星街),天域阳光
313,314,玉石城,6路(玉水寨-七星街),玉石城
314,315,束河路口,6路(玉水寨-七星街),束河路口
315,316,紫金坊,6路(玉水寨-七星街),紫金坊
316,317,丽江家园,6路(玉水寨-七星街),丽江家园
317,318,瑞雪苑,6路(玉水寨-七星街),瑞雪苑
318,319,邮电新苑,6路(玉水寨-七星街),邮电新苑
319,320,象山街,6路(玉水寨-七星街),象山街
320,321,市中级法院,6路(玉水寨-七星街),市中级法院
321,322,高快客运站,6路(玉水寨-七星街),高快客运站
322,323,福慧市场,6路(玉水寨-七星街),福慧市场
323,324,七星街,6路(玉水寨-七星街),七星街
324,325,古城区政府,1路(古城区政府-民航站),9
325,326,市人民医院,1路(古城区政府-民航站),18
326,327,古城口,1路(古城区政府-民航站),古城口
327,328,七星街,1路(古城区政府-民航站),七星街
328,329,公路总段,1路(古城区政府-民航站),公路总段
329,330,玉龙县医院,1路(古城区政府-民航站),玉龙县医院
330,331,金凯广场,1路(古城区政府-民航站),金凯广场
331,332,阿丹阁(长水路),1路(古城区政府-民航站),阿丹阁(长水路)
332,333,白华路口,1路(古城区政府-民航站),白华路口
333,334,实验学校,1路(古城区政府-民航站),实验学校
334,335,园丁小区,1路(古城区政府-民航站),园丁小区
335,336,寨后市场,1路(古城区政府-民航站),寨后市场
336,337,招呼站,1路(古城区政府-民航站),招呼站
337,338,金鹿巷,1路(古城区政府-民航站),金鹿巷
338,339,昌洛广场,1路(古城区政府-民航站),19
339,340,福慧学校,1路(古城区政府-民航站),7
340,341,民航站,1路(古城区政府-民航站),8
341,342,旅游学院,11路(旅游学院-客运站),旅游学院
342,343,金茂谷镇,11路(旅游学院-客运站),金茂谷镇
343,344,束河路口,11路(旅游学院-客运站),束河路口
344,345,紫金坊,11路(旅游学院-客运站),紫金坊
345,346,丽江家园,11路(旅游学院-客运站),丽江家园
346,347,瑞雪苑,11路(旅游学院-客运站),瑞雪苑
